Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E3		AI1		AI2		AI3		AI4		AI5		AI6		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		(V)		
0.000		5.6		158.6		0.02		0.02		3.69		3.69		0.01		0.02		
0.098		12.6		154.7		0.02		0.02		3.69		3.69		0.01		0.02		
0.195		21.2		145.2		0.02		0.02		3.69		3.69		0.01		0.01		
0.293		27.8		146.5		0.02		0.02		3.69		3.69		0.01		0.02		
0.391		35.1		137.4		0.02		0.02		3.69		3.68		0.01		0.02		
0.488		40.3		137.4		0.02		0.02		3.69		3.69		0.01		0.02		
0.586		48.1		132.2		0.02		0.02		3.69		3.69		0.01		0.02		
0.684		52.0		128.7		0.02		0.02		3.69		3.69		0.01		0.02		
0.781		60.3		124.4		0.02		0.02		3.69		3.69		0.01		0.01		
0.879		63.7		120.5		0.02		0.02		3.70		3.69		0.01		0.01		
0.977		67.2		119.2		0.02		0.02		3.69		3.69		0.01		0.02		
1.074		74.1		114.8		0.02		0.02		3.69		3.69		0.01		0.02		
1.172		78.0		112.2		0.02		0.02		3.69		3.69		0.01		0.02		
1.270		84.6		107.0		0.02		0.02		3.69		3.69		0.01		0.02		
1.367		87.2		104.9		0.02		0.02		3.69		3.69		0.01		0.02		
1.465		91.9		98.4		0.02		0.02		3.69		3.68		0.01		0.02		
1.563		96.7		92.7		0.02		0.02		3.69		3.69		0.01		0.02		
1.660		112.7		178.1		0.02		0.02		3.69		0.02		3.69		0.01		
1.758		101.9		183.3		0.02		0.02		3.70		0.02		3.69		0.01		
1.855		106.2		188.1		0.02		0.02		3.69		0.02		3.69		0.01		
1.953		110.6		184.6		0.02		0.02		3.69		0.02		3.69		0.01		
2.051		117.1		182.9		0.02		0.02		3.69		0.02		3.69		0.01		
2.148		119.7		184.6		0.02		0.02		3.69		0.02		3.69		0.01		
2.246		123.1		184.6		0.02		0.02		3.69		0.02		3.69		0.01		
2.344		128.3		182.9		0.02		0.02		3.70		0.02		3.69		0.01		
2.441		129.6		181.1		0.02		0.02		3.69		0.02		3.69		0.01		
2.539		134.4		181.6		0.02		0.02		3.69		0.02		3.69		0.01		
2.637		138.3		180.7		0.02		0.02		3.69		0.02		3.69		0.01		
2.734		143.1		177.2		0.02		0.02		3.69		0.02		3.69		0.01		
2.832		147.0		173.8		0.02		0.02		3.69		0.02		3.69		0.01		
2.930		154.4		169.9		0.02		0.02		3.69		0.02		3.68		0.01		
3.027		153.9		167.3		0.02		0.02		3.69		0.02		3.69		0.01		
3.125		162.2		163.4		0.02		0.02		3.69		0.02		3.69		0.01		
3.223		163.5		161.6		0.02		0.02		3.69		0.02		3.69		0.01		
3.320		166.1		154.7		0.02		0.02		3.69		0.02		3.69		0.01		
3.418		168.7		152.1		0.02		0.02		3.69		0.02		3.69		0.01		
3.516		174.7		150.4		0.02		0.01		3.69		0.02		3.69		0.01		
3.613		174.3		143.9		0.02		0.01		3.69		0.01		3.68		0.01		
3.711		176.0		139.1		0.02		0.02		3.69		0.02		3.69		0.01		
3.809		183.4		135.6		0.02		0.02		3.70		0.02		3.69		0.01		
3.906		183.8		129.6		0.02		0.02		3.69		0.02		3.69		0.01		
4.004		183.0		128.3		0.02		0.02		3.69		0.02		3.69		0.01		
4.102		187.8		124.8		0.02		0.02		3.69		0.02		3.69		0.01		
4.199		187.8		120.0		0.02		0.02		3.69		0.02		3.69		0.01		
4.297		189.1		118.3		0.02		0.02		3.69		0.02		3.69		0.01		
4.395		186.4		112.7		0.02		0.02		3.70		0.02		3.69		0.01		
4.492		189.1		107.9		0.02		0.02		3.69		0.02		3.69		0.01		
4.590		192.5		105.3		0.02		0.02		3.68		0.02		3.69		0.01		
4.688		194.7		101.0		0.02		0.02		3.70		0.02		3.69		0.01		
4.785		194.7		99.7		0.02		0.02		3.69		0.02		3.69		0.01		
4.883		194.3		94.0		0.02		0.02		3.69		0.02		3.69		0.01		
4.980		186.0		168.6		3.69		0.01		0.02		0.02		3.69		0.01		
5.078		187.8		184.2		3.69		0.01		0.02		0.02		3.69		0.01		
5.176		189.9		186.3		3.69		0.01		0.02		0.03		3.69		0.01		
5.273		193.4		183.3		3.69		0.01		0.02		0.02		3.69		0.01		
5.371		190.8		185.0		3.69		0.01		0.02		0.02		3.69		0.01		
5.469		187.8		186.8		3.69		0.01		0.02		0.03		3.69		0.01		
5.566		191.2		186.8		3.69		0.01		0.03		0.02		3.69		0.01		
5.664		191.2		185.5		3.69		0.01		0.02		0.03		3.69		0.01		
5.762		187.3		182.4		3.69		0.01		0.01		0.02		3.69		0.01		
5.859		185.6		182.0		3.69		0.01		0.03		0.02		3.69		0.01		
5.957		184.3		178.5		3.69		0.01		0.02		0.02		3.69		0.01		
6.055		180.4		177.2		3.69		0.01		0.02		0.02		3.69		0.01		
6.152		177.3		174.2		3.69		0.01		0.02		0.02		3.69		0.01		
6.250		175.2		173.3		3.69		0.01		0.02		0.02		3.69		0.01		
6.348		173.4		166.0		3.69		0.02		0.02		0.02		3.69		0.01		
6.445		169.1		164.7		3.69		0.01		0.03		0.02		3.69		0.01		
6.543		161.7		162.1		3.69		0.02		0.02		0.02		3.69		0.01		
6.641		160.0		155.6		3.69		0.02		0.02		0.03		3.69		0.01		
6.738		158.7		154.3		3.69		0.01		0.03		0.02		3.69		0.01		
6.836		150.9		148.6		3.69		0.01		0.02		0.02		3.69		0.02		
6.934		149.2		143.4		3.69		0.02		0.02		0.02		3.69		0.02		
