Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		6.5		-169.8		0.02		0.01		0.02		3.69		-0.013		1.7		
0.098		13.9		-171.6		0.01		0.03		0.02		3.69		0.000		0.0		
0.195		19.5		-175.5		0.01		0.02		0.02		3.69		-0.004		3.0		
0.293		31.7		-177.7		0.01		0.02		0.02		3.69		0.002		-0.9		
0.391		32.5		-177.7		0.01		0.02		0.02		3.68		-0.006		1.7		
0.488		39.9		-183.8		0.02		0.02		0.02		3.69		0.004		2.2		
0.586		44.2		-183.8		0.01		0.03		0.02		3.69		0.000		0.4		
0.684		49.9		-187.7		0.01		0.02		0.02		3.69		0.000		0.4		
0.781		56.4		-188.2		0.02		0.02		0.01		3.69		0.000		-1.7		
0.879		62.0		-189.5		0.01		0.02		0.02		3.69		-0.004		-2.2		
0.977		66.3		-190.8		0.01		0.03		0.01		3.69		-0.004		1.7		
1.074		69.4		-192.6		0.01		0.02		0.02		3.69		0.008		-1.3		
1.172		76.3		-193.4		0.01		0.03		0.02		3.69		-0.004		-1.7		
1.270		82.0		-193.9		0.01		0.02		0.02		3.69		0.004		-0.4		
1.367		83.7		-195.2		0.02		0.03		0.02		3.69		-0.008		-0.4		
1.465		88.9		-193.4		0.01		0.02		0.02		3.69		0.002		0.4		
1.563		94.5		-197.4		0.01		0.01		0.02		3.69		-0.011		-0.4		
1.660		104.5		-190.8		0.02		0.02		0.02		0.02		0.360		77.6		
1.758		105.8		-194.3		0.02		0.02		0.02		0.02		0.383		83.6		
1.855		111.4		-196.1		0.02		0.02		0.02		0.02		0.362		80.2		
1.953		115.3		-193.4		0.02		0.02		0.02		0.02		0.353		76.3		
2.051		117.1		-194.3		0.02		0.02		0.02		0.02		0.332		76.3		
2.148		121.4		-196.1		0.02		0.02		0.02		0.02		0.324		70.6		
2.246		124.0		-190.8		0.02		0.02		0.02		0.02		0.298		68.9		
2.344		126.2		-189.9		0.02		0.02		0.02		0.02		0.273		63.3		
2.441		131.8		-192.6		0.02		0.02		0.02		0.02		0.237		58.9		
2.539		138.8		-191.2		0.02		0.02		0.02		0.02		0.216		51.6		
2.637		144.8		-186.0		0.02		0.02		0.02		0.02		0.192		45.9		
2.734		144.4		-188.2		0.02		0.02		0.02		0.02		0.157		37.3		
2.832		153.1		-181.2		0.02		0.02		0.01		0.02		0.127		29.9		
2.930		154.4		-178.6		0.02		0.02		0.02		0.02		0.112		24.3		
3.027		158.3		-173.7		0.02		0.02		0.02		0.02		0.068		18.2		
3.125		160.4		-172.9		0.02		0.02		0.02		0.02		0.049		8.2		
3.223		163.0		-168.1		0.01		0.02		0.02		0.02		0.013		3.5		
3.320		168.7		-168.1		0.02		0.02		0.01		0.02		-0.006		0.9		
3.418		173.0		-158.9		0.02		0.01		0.02		0.02		-0.015		-0.9		
3.516		175.2		-154.9		0.02		0.01		0.02		0.02		-0.013		-1.7		
3.613		176.9		-151.0		0.02		0.01		0.02		0.02		-0.011		2.2		
3.711		179.9		-147.0		0.02		0.02		0.02		0.02		0.011		0.4		
3.809		181.2		-143.1		0.02		0.02		0.01		0.02		-0.002		0.4		
3.906		185.1		-137.0		0.02		0.02		0.02		0.02		-0.004		-1.7		
4.004		187.3		-135.2		0.02		0.03		0.02		0.02		-0.004		-2.2		
4.102		185.1		-133.5		0.02		0.02		0.02		0.02		0.006		0.4		
4.199		187.8		-127.4		0.02		0.01		0.02		0.02		-0.011		-2.2		
4.297		189.9		-125.2		0.02		0.03		0.02		0.02		-0.002		-1.3		
4.395		189.5		-119.5		0.02		0.03		0.02		0.02		-0.002		-3.5		
4.492		192.5		-113.8		0.02		0.03		0.02		0.02		-0.002		-2.2		
4.590		194.3		-111.6		0.02		0.03		0.02		0.02		0.004		-3.0		
4.688		194.3		-106.8		0.02		0.02		0.02		0.02		-0.002		-1.3		
4.785		195.1		-103.3		0.02		0.02		0.02		0.02		-0.006		-0.9		
4.883		198.2		-99.3		0.02		0.02		0.02		0.02		0.004		0.4		
4.980		185.6		-66.5		3.68		0.02		0.01		0.02		0.267		58.9		
5.078		195.6		-87.5		3.69		0.02		0.01		0.02		0.379		84.1		
5.176		194.7		-85.8		3.69		0.02		0.01		0.02		0.366		79.7		
5.273		195.6		-78.3		3.68		0.02		0.01		0.02		0.341		79.7		
5.371		195.1		-77.0		3.68		0.02		0.01		0.02		0.336		72.8		
5.469		193.4		-75.3		3.69		0.02		0.01		0.02		0.326		72.8		
5.566		194.7		-69.6		3.68		0.02		0.01		0.02		0.296		67.2		
5.664		193.0		-65.6		3.69		0.03		0.01		0.02		0.273		60.7		
5.762		192.5		-56.9		3.69		0.02		0.02		0.02		0.254		58.5		
5.859		193.0		-56.9		3.68		0.03		0.01		0.02		0.220		50.7		
5.957		187.8		-46.0		3.69		0.02		0.01		0.02		0.188		43.3		
6.055		184.7		-42.0		3.69		0.02		0.01		0.02		0.167		36.8		
6.152		184.3		-30.6		3.68		0.02		0.02		0.02		0.131		32.1		
6.250		179.5		-27.6		3.69		0.02		0.01		0.02		0.118		24.3		
6.348		181.7		-18.8		3.69		0.02		0.01		0.02		0.074		19.1		
6.445		174.3		-15.3		3.68		0.03		0.01		0.02		0.047		10.0		
6.543		173.0		-5.3		3.69		0.02		0.02		0.02		0.013		4.8		
6.641		166.1		4.4		3.69		0.03		0.01		0.02		-0.006		0.0		
6.738		160.0		11.8		3.69		0.02		0.01		0.02		0.000		-0.9		
6.836		158.7		20.1		3.69		0.01		0.02		0.02		-0.013		-0.4		
6.934		156.1		28.9		3.69		0.03		0.01		0.02		-0.002		0.4		
7.031		147.0		34.1		3.69		0.03		0.02		0.02		-0.002		-0.4		
7.129		146.6		40.3		3.69		0.01		0.02		0.02		-0.011		-0.4		
7.227		137.9		44.2		3.69		0.03		0.02		0.02		0.002		0.4		
7.324		137.0		49.9		3.69		0.03		0.02		0.02		0.000		3.0		
7.422		131.8		57.8		3.69		0.03		0.02		0.02		0.002		2.2		
7.520		130.1		61.3		3.69		0.03		0.02		0.02		0.002		1.3		
7.617		124.9		65.6		3.69		0.03		0.01		0.02		0.006		2.2		
7.715		121.0		71.8		3.69		0.03		0.01		0.02		0.000		0.0		
7.813		118.4		77.5		3.69		0.03		0.01		0.02		0.004		-1.3		
7.910		114.0		83.6		3.69		0.03		0.02		0.02		0.000		-1.7		
8.008		111.4		87.5		3.69		0.03		0.01		0.02		0.011		0.9		
8.105		104.5		91.9		3.69		0.03		0.01		0.02		-0.002		-0.9		
8.203		103.2		96.7		3.68		0.03		0.01		0.02		0.006		-0.9		
8.301		56.4		123.0		3.69		3.69		0.02		0.02		0.123		35.5		
8.398		92.8		106.3		3.69		3.69		0.02		0.01		0.391		86.7		
