Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		2.2		-168.5		0.01		0.02		0.02		3.69		0.556		35.4		
0.098		9.1		-169.4		0.02		0.02		0.02		3.69		0.522		32.8		
0.195		15.6		-175.1		0.02		0.03		0.02		3.69		0.474		29.7		
0.293		22.5		-175.5		0.01		0.02		0.02		3.69		0.417		26.8		
0.391		30.4		-179.4		0.01		0.03		0.02		3.69		0.379		23.7		
0.488		34.7		-181.6		0.01		0.02		0.02		3.69		0.324		20.2		
0.586		40.3		-183.8		0.01		0.02		0.02		3.69		0.269		16.8		
0.684		46.0		-184.7		0.01		0.02		0.02		3.69		0.216		13.5		
0.781		50.7		-189.1		0.01		0.02		0.02		3.68		0.167		9.9		
0.879		56.4		-186.0		0.01		0.02		0.02		3.69		0.116		6.5		
0.977		62.0		-187.7		0.01		0.02		0.02		3.69		0.040		2.6		
1.074		71.5		-202.2		0.02		0.02		0.02		0.02		0.080		7.1		
1.172		76.3		-189.9		0.02		0.02		0.02		0.02		0.188		11.7		
1.270		81.1		-190.8		0.02		0.02		0.02		0.02		0.290		17.4		
1.367		85.0		-190.8		0.02		0.02		0.02		0.02		0.362		22.3		
1.465		90.2		-191.2		0.02		0.02		0.02		0.02		0.417		26.6		
1.563		94.1		-193.9		0.02		0.02		0.02		0.02		0.491		30.4		
1.660		98.4		-194.3		0.02		0.02		0.01		0.02		0.550		33.8		
1.758		104.5		-191.2		0.02		0.02		0.02		0.02		0.588		36.5		
1.855		112.7		-194.3		0.02		0.02		0.02		0.02		0.611		38.9		
1.953		114.0		-191.2		0.02		0.02		0.02		0.02		0.652		40.9		
2.051		116.2		-191.2		0.02		0.02		0.02		0.02		0.681		42.6		
2.148		121.0		-193.0		0.02		0.02		0.02		0.02		0.709		44.1		
2.246		122.3		-192.6		0.02		0.02		0.02		0.02		0.726		45.3		
2.344		127.0		-191.2		0.02		0.02		0.01		0.02		0.726		46.1		
2.441		134.0		-190.4		0.02		0.02		0.02		0.02		0.753		46.3		
2.539		137.9		-190.8		0.02		0.02		0.02		0.02		0.740		46.6		
2.637		142.2		-185.6		0.02		0.02		0.02		0.02		0.740		46.6		
2.734		146.6		-186.0		0.02		0.02		0.02		0.02		0.721		45.7		
2.832		147.9		-181.2		0.02		0.02		0.02		0.02		0.726		44.3		
2.930		153.5		-178.1		0.02		0.02		0.01		0.02		0.687		43.1		
3.027		158.3		-175.5		0.01		0.02		0.02		0.01		0.656		41.8		
3.125		161.3		-173.7		0.02		0.02		0.01		0.02		0.635		39.8		
3.223		166.1		-170.7		0.02		0.02		0.02		0.02		0.605		37.5		
3.320		166.1		-166.3		0.02		0.02		0.01		0.02		0.569		35.1		
3.418		171.7		-158.0		0.02		0.02		0.02		0.02		0.506		32.7		
3.516		172.6		-157.5		0.02		0.03		0.02		0.02		0.474		30.0		
3.613		176.0		-151.4		0.02		0.02		0.01		0.02		0.434		27.0		
3.711		179.5		-148.4		0.02		0.02		0.02		0.02		0.387		23.8		
3.809		182.5		-144.4		0.02		0.02		0.01		0.02		0.315		20.6		
3.906		184.7		-139.2		0.02		0.02		0.01		0.02		0.260		16.9		
4.004		186.9		-137.9		0.02		0.02		0.02		0.01		0.222		13.5		
4.102		184.7		-136.1		0.02		0.02		0.02		0.02		0.157		9.9		
4.199		189.1		-130.0		0.02		0.02		0.02		0.02		0.114		6.4		
4.297		188.2		-126.0		0.02		0.02		0.02		0.01		0.030		2.6		
4.395		190.4		-114.7		3.68		0.02		0.01		0.02		0.044		0.2		
4.492		191.7		-114.7		3.68		0.02		0.01		0.02		0.165		10.1		
4.590		189.1		-109.8		3.68		0.02		0.01		0.02		0.260		15.5		
4.688		191.7		-106.3		3.69		0.02		0.01		0.02		0.334		20.8		
4.785		194.7		-102.4		3.69		0.03		0.01		0.02		0.404		25.2		
4.883		191.7		-98.5		3.69		0.03		0.01		0.02		0.461		28.9		
4.980		192.5		-90.2		3.69		0.02		0.01		0.02		0.508		32.2		
5.078		189.9		-90.6		3.68		0.02		0.01		0.02		0.554		35.0		
5.176		193.4		-84.0		3.69		0.02		0.01		0.02		0.603		37.7		
5.273		196.0		-79.2		3.68		0.02		0.01		0.02		0.626		39.4		
5.371		194.3		-74.0		3.68		0.02		0.01		0.02		0.662		41.1		
5.469		195.1		-70.5		3.69		0.02		0.01		0.02		0.690		42.8		
5.566		193.8		-68.3		3.69		0.02		0.01		0.02		0.707		43.8		
5.664		195.1		-61.3		3.68		0.02		0.01		0.02		0.717		44.7		
5.762		188.6		-60.4		3.69		0.02		0.01		0.02		0.728		45.3		
5.859		191.7		-50.8		3.69		0.02		0.01		0.02		0.723		45.3		
5.957		189.1		-49.0		3.68		0.02		0.01		0.02		0.713		45.4		
6.055		183.4		-37.6		3.69		0.02		0.01		0.02		0.704		44.4		
6.152		182.5		-33.3		3.69		0.02		0.01		0.02		0.681		43.5		
6.250		179.9		-25.4		3.69		0.02		0.01		0.02		0.668		42.2		
6.348		178.6		-21.4		3.69		0.02		0.01		0.02		0.656		40.8		
6.445		175.2		-13.1		3.69		0.02		0.01		0.02		0.620		39.0		
6.543		171.7		-9.2		3.69		0.02		0.02		0.02		0.588		36.8		
6.641		166.9		3.1		3.69		0.02		0.02		0.02		0.561		34.7		
6.738		161.3		7.9		3.69		0.02		0.02		0.02		0.512		32.0		
6.836		157.4		14.4		3.69		0.03		0.01		0.02		0.470		29.5		
6.934		153.9		22.3		3.69		0.03		0.01		0.02		0.417		26.2		
7.031		148.7		30.2		3.69		0.03		0.02		0.02		0.368		23.0		
7.129		147.0		32.8		3.69		0.02		0.01		0.02		0.317		19.8		
7.227		144.8		41.1		3.69		0.03		0.01		0.02		0.262		16.5		
7.324		140.1		46.0		3.69		0.03		0.02		0.02		0.190		12.9		
7.422		135.3		49.0		3.69		0.03		0.02		0.02		0.163		9.6		
7.520		131.4		56.0		3.69		0.03		0.01		0.02		0.106		5.7		
7.617		129.6		63.9		3.69		0.03		0.02		0.02		0.034		2.1		
7.715		133.1		68.3		3.69		3.70		0.02		0.02		0.032		7.4		
7.813		114.0		74.8		3.69		3.69		0.02		0.02		0.148		9.1		
7.910		111.9		81.4		3.69		3.70		0.02		0.01		0.237		14.7		
8.008		108.4		86.7		3.69		3.69		0.02		0.01		0.317		19.9		
8.105		106.7		91.0		3.69		3.69		0.01		0.01		0.391		24.9		
8.203		99.3		98.0		3.69		3.69		0.02		0.02		0.446		28.3		
8.301		94.5		99.8		3.69		3.69		0.01		0.02		0.510		32.0		
8.398		91.9		105.0		3.69		3.69		0.01		0.01		0.556		34.8		
8.496		88.5		109.4		3.69		3.69		0.01		0.01		0.616		37.8		
