Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
0.000		55.1		-172.4		0.01		0.02		0.01		3.69		0.639		-38.6		
0.098		22.1		-177.7		0.01		0.02		0.02		3.68		0.723		-23.8		
0.195		25.1		-176.4		0.01		0.02		0.02		3.68		0.795		-31.2		
0.293		29.1		-183.4		0.01		0.02		0.02		3.69		0.840		-38.6		
0.391		39.9		-183.8		0.01		0.02		0.02		3.68		0.903		-46.8		
0.488		44.2		-185.1		0.01		0.02		0.02		3.69		0.935		-54.6		
0.586		53.3		-187.3		0.01		0.02		0.02		3.68		0.981		-56.8		
0.684		56.4		-187.7		0.01		0.02		0.02		3.69		1.024		-65.4		
0.781		65.0		-193.4		0.01		0.02		0.02		3.68		1.043		-68.9		
0.879		69.4		-193.9		0.02		0.02		0.02		3.68		1.058		-77.1		
0.977		73.3		-196.1		0.01		0.02		0.02		3.68		1.096		-81.0		
1.074		79.8		-195.2		0.02		0.02		0.02		3.68		1.127		-87.5		
1.172		83.3		-199.6		0.01		0.02		0.02		3.68		1.142		-92.3		
1.270		88.5		-199.6		0.01		0.02		0.02		3.69		1.138		-96.2		
1.367		91.5		-199.6		0.02		0.02		0.02		3.68		1.170		-101.8		
1.465		100.2		-201.3		0.02		0.02		0.02		3.68		1.161		-104.4		
1.563		102.3		-200.9		0.02		0.02		0.02		3.69		1.149		-111.8		
1.660		106.2		-199.6		0.01		0.02		0.02		3.68		1.127		-112.2		
1.758		109.7		-201.8		0.01		0.02		0.02		3.68		1.111		-116.6		
1.855		116.2		-198.7		0.01		0.02		0.02		3.68		1.079		-121.3		
1.953		117.1		-200.9		0.02		0.02		0.02		3.69		1.058		-127.4		
2.051		124.0		-200.4		0.01		0.02		0.02		3.68		1.032		-127.8		
2.148		127.5		-199.6		0.01		0.02		0.02		3.68		1.007		-134.3		
2.246		130.5		-200.9		0.01		0.02		0.02		3.68		1.001		-135.6		
2.344		133.6		-200.0		0.01		0.02		0.02		3.68		0.977		-138.2		
2.441		138.8		-196.9		0.01		0.02		0.02		3.68		0.941		-141.7		
2.539		142.2		-191.2		0.02		0.02		0.02		3.68		0.922		-147.8		
2.637		147.9		-195.2		0.01		0.02		0.02		3.68		0.878		-149.5		
2.734		150.9		-190.4		0.01		0.02		0.02		3.68		0.846		-156.0		
2.832		154.8		-188.6		0.01		0.02		0.02		3.68		0.795		-157.3		
2.930		157.0		-183.4		0.01		0.02		0.02		3.68		0.726		-158.2		
3.027		160.9		-178.1		0.01		0.02		0.02		3.68		0.681		-163.8		
3.125		161.7		-173.7		0.02		0.02		0.02		3.69		0.637		-169.0		
3.223		167.4		-170.7		0.01		0.02		0.02		3.68		0.577		-168.6		
3.320		205.1		-183.4		0.02		0.03		0.02		0.02		0.599		-13.4		
3.418		171.7		-157.1		0.02		0.02		0.02		0.02		0.694		-18.6		
3.516		178.6		-151.9		0.02		0.02		0.02		0.02		0.776		-33.4		
3.613		180.8		-148.8		0.02		0.02		0.02		0.02		0.840		-40.7		
3.711		183.4		-145.7		0.02		0.02		0.01		0.02		0.910		-45.1		
3.809		186.4		-138.3		0.02		0.02		0.02		0.02		0.960		-51.6		
3.906		189.9		-139.2		0.01		0.02		0.01		0.02		0.998		-59.4		
4.004		190.4		-132.2		0.02		0.02		0.02		0.02		1.024		-64.1		
4.102		189.9		-127.8		0.02		0.02		0.01		0.02		1.053		-69.3		
4.199		194.3		-50.3		0.02		0.02		0.02		0.02		1.056		-74.5		
4.297		198.6		-119.0		0.02		0.02		0.02		0.02		1.091		-78.4		
4.395		198.2		-116.8		0.02		0.02		0.02		0.02		1.108		-85.8		
4.492		194.3		-109.0		0.02		0.02		0.01		0.02		1.117		-89.7		
4.590		197.3		-109.8		0.02		0.02		0.02		0.02		1.121		-94.5		
4.688		199.5		-105.5		0.02		0.02		0.02		0.02		1.134		-100.5		
4.785		202.5		-101.5		0.02		0.02		0.02		0.02		1.138		-107.0		
4.883		199.0		-95.4		0.02		0.02		0.02		0.02		1.151		-109.6		
4.980		201.6		-94.5		0.02		0.02		0.01		0.02		1.153		-115.7		
5.078		202.1		-90.2		0.02		0.02		0.02		0.02		1.140		-118.3		
5.176		201.6		-87.5		0.02		0.02		0.02		0.02		1.104		-124.8		
5.273		199.0		-84.0		0.02		0.02		0.02		0.02		1.087		-127.0		
5.371		201.2		-76.6		0.02		0.02		0.02		0.02		1.041		-130.0		
5.469		200.8		-74.8		0.02		0.02		0.02		0.02		1.026		-131.7		
5.566		199.0		-70.5		0.02		0.02		0.02		0.02		0.975		-134.3		
5.664		199.9		-63.5		0.02		0.02		0.02		0.02		0.954		-138.7		
5.762		197.7		-60.8		0.02		0.02		0.02		0.02		0.922		-142.6		
5.859		193.4		-53.8		0.02		0.02		0.02		0.02		0.886		-145.6		
5.957		194.3		-47.3		0.02		0.02		0.02		0.02		0.857		-148.2		
6.055		187.3		-37.2		0.02		0.02		0.02		0.02		0.840		-155.6		
6.152		187.3		-30.6		0.02		0.02		0.02		0.02		0.802		-159.5		
6.250		187.8		-26.7		0.02		0.02		0.02		0.02		0.757		-162.1		
6.348		179.9		-18.8		0.02		0.02		0.02		0.02		0.700		-162.5		
6.445		178.6		-11.4		0.02		0.02		0.02		0.02		0.660		-169.9		
6.543		172.1		-4.8		0.02		0.03		0.02		0.02		0.605		-172.0		
6.641		137.5		13.1		3.67		0.01		-0.02		0.01		0.620		16.5		
6.738		160.4		17.9		3.68		0.02		0.01		0.02		0.698		-22.5		
6.836		153.1		22.3		3.69		0.02		0.01		0.02		0.774		-30.3		
6.934		152.2		31.5		3.68		0.03		0.01		0.02		0.838		-36.4		
7.031		147.0		37.2		3.69		0.02		0.01		0.02		0.882		-43.8		
7.129		141.8		45.5		3.68		0.02		0.02		0.02		0.935		-51.1		
7.227		137.0		52.1		3.68		0.02		0.02		0.02		0.967		-59.4		
7.324		132.2		56.9		3.69		0.02		0.02		0.02		1.009		-62.8		
7.422		129.2		62.6		3.68		0.02		0.02		0.02		1.026		-68.9		
7.520		124.0		67.8		3.69		0.02		0.02		0.02		1.047		-75.0		
7.617		121.4		74.4		3.68		0.02		0.02		0.02		1.106		-81.5		
7.715		120.5		77.5		3.68		0.02		0.01		0.02		1.140		-87.1		
7.813		115.8		83.2		3.69		0.03		0.02		0.02		1.146		-91.4		
7.910		108.0		91.9		3.68		0.02		0.02		0.02		1.155		-96.2		
8.008		108.4		96.7		3.68		0.02		0.02		0.02		1.176		-100.5		
8.105		101.0		96.3		3.69		0.02		0.01		0.02		1.163		-104.4		
8.203		97.1		103.3		3.68		0.02		0.01		0.02		1.168		-107.0		
8.301		95.8		104.6		3.68		0.02		0.01		0.02		1.144		-111.4		
